SHOP	ITEM	PRICE
당근마켓	[Levi's] (택포)리바이스 반팔 체크 셔츠 (남90,여55)	8000
당근마켓	LEVI'S 리바이스 315 SHAPING BOOT 검정 부츠컷진 W28 L30	80000
당근마켓	[Levi's] (택포)리바이스 반팔 체크 셔츠 (남90,여55)	8000
당근마켓	[새상품] Levis 리바이스 스키니 청바지 (여성용 사이즈 29)	35000
당근마켓	리바이스 빈티지 LEVIS 청 바지	21000
당근마켓	Levis 리바이스 남자 청바지 사이즈 30 (새상품)	40000
당근마켓	리바이스 Levis 웨스턴 블랙 데님 셔츠	40000
당근마켓	Levi's 505 original fit jean 리바이스 505 중청	50000
당근마켓	Levis 리바이스 남자 청바지 사이즈 30 (새상품)	40000
당근마켓	리바이스 Levi’s 청자켓 	50000
당근마켓	리바이스(Levi’s) 블루스트라이프 여성 셔츠 90(M)	7000
당근마켓	LEVI’S 리바이스 스웨터요	4000
당근마켓	리바이스.LEVIS.빈티지야상.L/100.	65000
당근마켓	Levi's. woman 리바이스 여자 청바지 (28).	17000
당근마켓	리바이스자켓L 실측사이즈100~105,리바이스쉐르파,리바이스트러커	73000
당근마켓	LEVIS 리바이스 517 데님 팬츠	34000
당근마켓	리바이스 (LEVIS) 스키니 진 팝니다	50000
당근마켓	Levi’s BLACK 리바이스 블랙 유로라인 글렌체크 트럭커 자켓	100000
당근마켓	(한번착용) Levi's 리바이스 프리미엄 501 청바지 27	85000
당근마켓	리바이스(Levis) 청바지 (허리30)팝니다.	16000
당근마켓	매장판 리바이스 08501-0125 팝니다 국내 정품 Levis 501 청바지 LVC 빈티지 한정판 리미티드	70000
당근마켓	매장판 리바이스 1세대 엔지니어드진 팝니다 국내 정품 Levis 501 청바지 LVC 빈티지 한정판 리미티드	40000
당근마켓	매장판 리바이스 04501-0296 팝니다 국내 정품 Levis 501 청바지 LVC 빈티지 한정판 리미티드	60000
당근마켓	매장판 리바이스 90년대 청자켓 70505-0201 팝니다 Levis 501 청재킷 LVC 빈티지 한정판 리미티드	70000
